year,size_emp,indic_is,indicator_label,value
2024,10-49,E_AI_TANY,Any AI technology adoption,11.34
2025,10-49,E_AI_TANY,Any AI technology adoption,17.19
2021,10-49,E_AI_TML,Machine learning for data analysis,1.76
2023,10-49,E_AI_TML,Machine learning for data analysis,1.79
2024,10-49,E_AI_TML,Machine learning for data analysis,3.13
2025,10-49,E_AI_TML,Machine learning for data analysis,3.81
2021,10-49,E_AI_TML,Machine learning for data analysis,1.79
2023,10-49,E_AI_TML,Machine learning for data analysis,1.81
2024,10-49,E_AI_TML,Machine learning for data analysis,3.17
2025,10-49,E_AI_TML,Machine learning for data analysis,3.85
2021,10-49,E_AI_TNLG,Natural language generation / code generation,1.04
2023,10-49,E_AI_TNLG,Natural language generation / code generation,1.77
2024,10-49,E_AI_TNLG,Natural language generation / code generation,4.58
2025,10-49,E_AI_TNLG,Natural language generation / code generation,6.96
2021,10-49,E_AI_TNLG,Natural language generation / code generation,1.06
2023,10-49,E_AI_TNLG,Natural language generation / code generation,1.8
2024,10-49,E_AI_TNLG,Natural language generation / code generation,4.64
2025,10-49,E_AI_TNLG,Natural language generation / code generation,7.04
2021,10-49,E_AI_TPA,AI workflow automation / decision assistance,2.08
2023,10-49,E_AI_TPA,AI workflow automation / decision assistance,2.12
2024,10-49,E_AI_TPA,AI workflow automation / decision assistance,3.03
2025,10-49,E_AI_TPA,AI workflow automation / decision assistance,4.13
2021,10-49,E_AI_TPA,AI workflow automation / decision assistance,2.12
2023,10-49,E_AI_TPA,AI workflow automation / decision assistance,2.14
2024,10-49,E_AI_TPA,AI workflow automation / decision assistance,3.07
2025,10-49,E_AI_TPA,AI workflow automation / decision assistance,4.18
2023,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,3.71
2024,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,7.46
2025,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,7.95
2023,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,38.48
2024,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,49.58
2025,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,52.32
2023,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,4.32
2024,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,9.8
2025,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,11.63
2023,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,3.72
2024,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,7.49
2025,50-249,E_AI_BCDP,Barrier: data protection and privacy concerns,7.97
2023,50-249,E_AI_BLEG,Barrier: unclear legal consequences,4.03
2024,50-249,E_AI_BLEG,Barrier: unclear legal consequences,7.76
2025,50-249,E_AI_BLEG,Barrier: unclear legal consequences,7.51
2023,50-249,E_AI_BLEG,Barrier: unclear legal consequences,41.91
2024,50-249,E_AI_BLEG,Barrier: unclear legal consequences,51.52
2025,50-249,E_AI_BLEG,Barrier: unclear legal consequences,49.41
2023,50-249,E_AI_BLEG,Barrier: unclear legal consequences,4.7
2024,50-249,E_AI_BLEG,Barrier: unclear legal consequences,10.18
2025,50-249,E_AI_BLEG,Barrier: unclear legal consequences,10.98
2023,50-249,E_AI_BLEG,Barrier: unclear legal consequences,4.05
2024,50-249,E_AI_BLEG,Barrier: unclear legal consequences,7.79
2025,50-249,E_AI_BLEG,Barrier: unclear legal consequences,7.53
2023,50-249,E_AI_CC,AI plus cloud computing services,10.67
2025,50-249,E_AI_CC,AI plus cloud computing services,26.17
2023,50-249,E_AI_CC,AI plus cloud computing services,10.71
2025,50-249,E_AI_CC,AI plus cloud computing services,26.25
2021,50-249,E_AI_TANY,Any AI technology adoption,12.55
2023,50-249,E_AI_TANY,Any AI technology adoption,13.07
2024,50-249,E_AI_TANY,Any AI technology adoption,20.97
2025,50-249,E_AI_TANY,Any AI technology adoption,30.36
2021,50-249,E_AI_TANY,Any AI technology adoption,12.63
2023,50-249,E_AI_TANY,Any AI technology adoption,13.11
2024,50-249,E_AI_TANY,Any AI technology adoption,21.05
2025,50-249,E_AI_TANY,Any AI technology adoption,30.45
2021,50-249,E_AI_TML,Machine learning for data analysis,4.34
2023,50-249,E_AI_TML,Machine learning for data analysis,4.82
2024,50-249,E_AI_TML,Machine learning for data analysis,7.28
2025,50-249,E_AI_TML,Machine learning for data analysis,8.73
2021,50-249,E_AI_TML,Machine learning for data analysis,4.37
2023,50-249,E_AI_TML,Machine learning for data analysis,4.84
2024,50-249,E_AI_TML,Machine learning for data analysis,7.31
2025,50-249,E_AI_TML,Machine learning for data analysis,8.75
2021,50-249,E_AI_TNLG,Natural language generation / code generation,2.02
2023,50-249,E_AI_TNLG,Natural language generation / code generation,2.83
2024,50-249,E_AI_TNLG,Natural language generation / code generation,7.88
2025,50-249,E_AI_TNLG,Natural language generation / code generation,14.79
2021,50-249,E_AI_TNLG,Natural language generation / code generation,2.04
2023,50-249,E_AI_TNLG,Natural language generation / code generation,2.83
2024,50-249,E_AI_TNLG,Natural language generation / code generation,7.91
2025,50-249,E_AI_TNLG,Natural language generation / code generation,14.84
2021,50-249,E_AI_TPA,AI workflow automation / decision assistance,5.07
2023,50-249,E_AI_TPA,AI workflow automation / decision assistance,5.34
2024,50-249,E_AI_TPA,AI workflow automation / decision assistance,7.62
2025,50-249,E_AI_TPA,AI workflow automation / decision assistance,8.67
2021,50-249,E_AI_TPA,AI workflow automation / decision assistance,5.1
2023,50-249,E_AI_TPA,AI workflow automation / decision assistance,5.36
2024,50-249,E_AI_TPA,AI workflow automation / decision assistance,7.65
2025,50-249,E_AI_TPA,AI workflow automation / decision assistance,8.69
2023,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,5.8
2024,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,9.48
2025,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,9.31
2023,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,39.07
2024,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,52.16
2025,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,58.76
2023,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,8.61
2024,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,17.11
2025,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,21.34
2023,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,5.8
2024,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,9.49
2025,GE250,E_AI_BCDP,Barrier: data protection and privacy concerns,9.33
2023,GE250,E_AI_BLEG,Barrier: unclear legal consequences,5.49
2024,GE250,E_AI_BLEG,Barrier: unclear legal consequences,9.35
2025,GE250,E_AI_BLEG,Barrier: unclear legal consequences,8.12
2023,GE250,E_AI_BLEG,Barrier: unclear legal consequences,37.01
2024,GE250,E_AI_BLEG,Barrier: unclear legal consequences,51.41
2025,GE250,E_AI_BLEG,Barrier: unclear legal consequences,51.22
2023,GE250,E_AI_BLEG,Barrier: unclear legal consequences,8.15
2024,GE250,E_AI_BLEG,Barrier: unclear legal consequences,16.86
2025,GE250,E_AI_BLEG,Barrier: unclear legal consequences,18.6
2023,GE250,E_AI_BLEG,Barrier: unclear legal consequences,5.49
2024,GE250,E_AI_BLEG,Barrier: unclear legal consequences,9.36
2025,GE250,E_AI_BLEG,Barrier: unclear legal consequences,8.13
2023,GE250,E_AI_CC,AI plus cloud computing services,28.0
2025,GE250,E_AI_CC,AI plus cloud computing services,51.74
2023,GE250,E_AI_CC,AI plus cloud computing services,28.02
2025,GE250,E_AI_CC,AI plus cloud computing services,51.81
2021,GE250,E_AI_TANY,Any AI technology adoption,28.41
2023,GE250,E_AI_TANY,Any AI technology adoption,30.48
2024,GE250,E_AI_TANY,Any AI technology adoption,41.17
2025,GE250,E_AI_TANY,Any AI technology adoption,55.03
2021,GE250,E_AI_TANY,Any AI technology adoption,28.47
2023,GE250,E_AI_TANY,Any AI technology adoption,30.5
2024,GE250,E_AI_TANY,Any AI technology adoption,41.21
2025,GE250,E_AI_TANY,Any AI technology adoption,55.1
2021,GE250,E_AI_TML,Machine learning for data analysis,13.05
2023,GE250,E_AI_TML,Machine learning for data analysis,14.66
2024,GE250,E_AI_TML,Machine learning for data analysis,20.58
2025,GE250,E_AI_TML,Machine learning for data analysis,25.05
2021,GE250,E_AI_TML,Machine learning for data analysis,13.08
2023,GE250,E_AI_TML,Machine learning for data analysis,14.67
2024,GE250,E_AI_TML,Machine learning for data analysis,20.6
2025,GE250,E_AI_TML,Machine learning for data analysis,25.08
2021,GE250,E_AI_TNLG,Natural language generation / code generation,5.25
2023,GE250,E_AI_TNLG,Natural language generation / code generation,7.74
2024,GE250,E_AI_TNLG,Natural language generation / code generation,16.64
2025,GE250,E_AI_TNLG,Natural language generation / code generation,31.68
2021,GE250,E_AI_TNLG,Natural language generation / code generation,5.26
2023,GE250,E_AI_TNLG,Natural language generation / code generation,7.75
2024,GE250,E_AI_TNLG,Natural language generation / code generation,16.66
2025,GE250,E_AI_TNLG,Natural language generation / code generation,31.72
2021,GE250,E_AI_TPA,AI workflow automation / decision assistance,14.57
2023,GE250,E_AI_TPA,AI workflow automation / decision assistance,16.47
2024,GE250,E_AI_TPA,AI workflow automation / decision assistance,20.4
2025,GE250,E_AI_TPA,AI workflow automation / decision assistance,24.42
2021,GE250,E_AI_TPA,AI workflow automation / decision assistance,14.59
2023,GE250,E_AI_TPA,AI workflow automation / decision assistance,16.48
2024,GE250,E_AI_TPA,AI workflow automation / decision assistance,20.42
2025,GE250,E_AI_TPA,AI workflow automation / decision assistance,24.45
